id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
337	instance segmentation	-0.7759	0.3774	1	87	167	11	2021.7273	22.1818	1.3571
338	interaction	0.7701	0.5938	3	233	713	36	2021.25	22.8333	0.6471
339	interest	0.2749	-0.3382	6	394	1220	71	2021.1831	16.7324	0.9493
340	internet	-0.3989	0.5208	3	360	1426	92	2021.7935	13.337	0.9618
341	intersection	-0.466	0.0335	1	227	516	29	2022.7241	8.2069	0.6904
342	iot	-0.4465	0.4352	3	346	1921	125	2022.216	14.032	1.1684
343	iot device	-1.0587	-0.0022	3	76	225	12	2022.25	5.75	1.2195
344	iou	-0.6073	0.2541	1	159	359	22	2022	13	0.8022
345	irrigation	0.9581	0.6364	2	151	512	23	2021.913	10.8696	0.6955
346	k nearest neighbor	0.5166	-0.6163	2	162	340	20	2021.15	14.1	1.0616
347	kappa	1.0925	0.1782	4	93	284	12	2022.0833	18.0833	1.0316
348	knn	0.5458	-0.5722	2	273	776	46	2021.8696	11.1304	0.7716
349	lab	0.3562	-0.2063	4	122	227	15	2021.8	8.5333	0.7299
350	laboratory	0.331	-0.1146	2	225	555	33	2021.4242	26.1212	1.1502
351	laboratory condition	0.3851	-0.3374	2	98	246	12	2021.5	28.0833	1.1888
352	large area	0.2985	0.1562	2	124	187	13	2020.8462	37.3077	1.1502
353	large farm	0.2141	-0.1983	4	99	157	10	2020.8	19.6	1.0662
354	large field	-0.1733	-0.0146	1	74	103	10	2020.9	11	1.3683
355	late blight	-0.1377	-0.1536	1	270	784	50	2021.9	15.6	1.3345
356	layer	-0.801	-0.1843	1	498	3042	216	2022.1528	11.625	1.0952
357	lda	1.1554	-1.0314	6	121	621	18	2019.7778	9.1667	0.3204
358	leaf blast	-0.0854	-0.6423	5	127	301	16	2022.5	7.0625	0.5438
359	leaf disease classification	-0.8849	-0.0655	1	182	392	30	2022.8333	3.7	0.4538
360	leaf rust	0.8847	-0.5294	4	99	484	17	2020.5294	13.2353	0.6684
361	leaf smut	-0.5407	-0.8666	1	84	156	12	2021.8333	13.4167	0.6629
362	learning rate	-0.8491	-0.4554	1	113	266	14	2022.6429	10.7143	0.5305
363	level	0.4913	-0.0539	2	585	3585	206	2021.1068	18.6408	0.9382
364	life	0.2987	0.0253	4	260	630	47	2021.9362	5.0426	0.4546
365	light	0.149	0.3712	3	247	565	30	2020.4333	29.2667	1.2997
366	line	0.5786	0.124	4	140	397	24	2021.7917	10.4583	0.5933
367	linear discriminant analysis	1.2552	-1.036	6	122	571	16	2019.75	12.9375	0.4221
368	local binary pattern	-0.3753	-0.4613	1	116	171	14	2022.6429	12.3571	0.4105
369	location	0.4216	0.2689	4	285	914	54	2020.6667	34.2593	1.6314
370	logistic regression	0.3556	-0.4844	2	254	571	32	2022.2188	10.5625	0.7243
371	long short term memory	-0.8241	-0.3927	1	139	259	16	2022.3125	6.125	0.6038
372	loss function	-0.5705	0.1064	1	243	533	41	2022.4634	10.7073	1.0841
373	low cost	0.1584	0.3979	3	231	518	28	2021.3571	36.4643	1.3186
374	lstm	-0.8763	-0.4657	1	172	539	33	2022.4848	8.0909	0.5104
375	machine learning algorithm	0.4271	-0.0748	3	308	688	46	2021.6957	19.9783	1.3421
376	machine learning approach	0.2702	0.1213	3	188	368	25	2021.92	7.44	1.1195
377	machine learning classifier	0.4659	-0.2396	4	168	310	18	2021.2778	33.8333	1.5612
378	machine learning method	0.4185	0.1354	4	210	430	29	2020	24.8276	1.0244
379	machine learning technique	-0.0287	0.1484	5	90	157	13	2020.1538	15.2308	0.5828
380	machine vision	0.4869	0.1074	2	150	302	16	2019	50.0625	1.4061
381	main challenge	-0.1771	0.9366	3	84	143	10	2021.8	19.8	0.9587
382	maize crop	-0.1992	0.6495	3	95	242	14	2023.2857	4.8571	0.862
383	maize leaf disease	-0.4455	-0.2726	1	88	178	14	2020.8571	21.2857	3.4859
384	maize plant	-0.6913	0.0471	1	78	120	11	2022.3636	8.0909	0.5559
385	major cause	-0.4774	0.0526	1	112	174	12	2022.25	5.9167	0.3672
386	major disease	0.456	-0.3669	2	100	155	10	2020.4	18.2	0.5965
387	major role	0.0175	-0.0099	3	80	101	10	2021.8	5.9	0.2982
388	management	0.234	0.4156	3	588	3307	207	2021.8792	32.0048	1.4035
389	mango	-0.539	-0.3065	1	91	249	26	2022.1154	7.6538	0.3738
390	manuscript	-0.711	0.2402	1	157	348	21	2021.4286	46.4286	1.8084
391	mask rcnn	0.8313	-0.0578	4	53	212	12	2021.4167	17.75	0.7586
392	maximum accuracy	0.1766	-0.6185	1	124	228	14	2022.5	4.5	1.0327
393	mean	0.3659	0.0729	4	319	825	52	2020.5192	19.3269	0.7412
394	mean average precision	-0.2918	0.3897	1	197	454	35	2022.4286	12.7714	0.9148
395	measurement	0.9503	-0.0034	4	283	1119	63	2020.8095	21.619	0.7381
396	medicinal plant	-0.2413	-0.7294	4	91	344	25	2022.4	2.6	0.3381
397	memory	-0.6867	-0.0207	1	191	363	24	2021.5833	13.2083	0.5192
398	million	-0.8433	-0.3049	1	103	148	13	2021.3077	23.7692	0.8517
399	miou	-0.4758	0.1178	1	94	175	12	2022.75	5	0.601
400	mlp	0.6837	-0.6559	2	144	409	26	2019.0769	22.0385	3.9391
401	mobile app	-0.3163	0.0405	3	118	245	15	2021.2	29.3333	0.9522
402	mobile device	-0.9546	0.1882	1	165	346	25	2021.48	53.16	1.7805
403	mobilenet	-1.0659	-0.1394	1	262	918	55	2022.4182	21.2727	0.9362
404	mobilenet v2	-1.3354	0.0988	1	107	428	22	2023	0.7273	0.4539
405	mobilenetv2	-0.9556	-0.2197	1	281	1079	65	2022.7538	9.7077	1.0081
406	mobilenetv3	-1.0054	0.0874	1	122	208	13	2023.0769	10.2308	1.0272
407	model performance	-0.1172	0.0363	6	248	558	27	2021.8519	16.3333	1.1912
408	model size	-0.9144	0.2092	1	126	240	19	2022.6316	13.5789	0.9757
409	model training	-0.6899	0.4545	1	177	301	18	2022.1111	14.1667	1.1087
410	modern agriculture	-0.3094	0.6383	3	114	190	12	2022.6667	8.4167	1.1905
411	module	-0.9492	0.3026	1	365	1709	120	2022.2583	12.2667	0.8295
412	money	-0.2627	-0.2937	1	74	103	10	2022.8	2.1	0.2464
413	mosaic virus	-0.1707	-0.0111	1	103	232	21	2021.7143	4.0476	0.3621
414	multilayer perceptron	1.0677	-0.4864	2	136	283	14	2018.7143	38.2143	0.8001
415	multiple disease	-0.2768	-0.11	1	167	325	24	2021.375	36.2083	1.507
416	multispectral image	1.2928	0.0944	4	115	376	16	2021.5625	23.375	1.2083
417	multispectral imagery	1.5058	0.2276	2	116	370	15	2020.8	26.5333	1.3797
418	naive bayes	0.7237	-0.5304	2	149	321	17	2021.6471	12.4706	1.1374
419	ndvi	1.3963	0.269	2	131	337	14	2020.0714	29.0714	1.0631
420	negative impact	-0.2858	0.5948	5	113	201	13	2021	34.1538	1.1001
421	nematode	1.4157	0.4568	2	127	546	15	2022.0667	10.2	0.7031
422	new dataset	-0.6123	0.0451	1	109	160	13	2022	21.6923	1.1102
423	new method	0.7746	-0.4169	6	154	314	19	2021.2632	9.2632	0.6656
424	new technology	-0.2321	0.2001	3	101	188	11	2020.8182	15.2727	0.4253
425	next	-0.5758	-0.6305	1	142	230	17	2021.8824	13.7647	1.0771
426	nir	1.4567	-0.0801	2	195	720	33	2021.697	22.8485	1.0312
427	nitrogen deficiency	1.0723	0.3361	2	57	231	11	2022.0909	9.1818	0.4033
428	nlb	-0.6298	0.3376	1	59	134	10	2022.3	11.1	0.2708
429	novel framework	-0.2259	-0.3493	1	97	156	11	2022.0909	19.1818	2.7782
430	novelty	-0.1719	-0.1192	1	119	186	13	2020.7692	16.5385	0.8771
431	nuru	0.1935	0.6336	4	17	108	11	2020	15.5455	0.4747
432	nutrient deficiency	0.0458	-0.094	2	122	231	15	2021.3333	26	0.8497
433	nutritional deficiency	0.1763	-0.0031	3	85	128	11	2021.8182	26	1.4374
434	occurrence	0.4347	0.2624	2	310	950	49	2021.7347	20.3469	1.3923
435	oil palm	1.4279	-0.7503	2	77	316	12	2020.4167	22.1667	0.968
436	oil palm tree	1.0702	-0.7187	2	56	305	15	2021.1333	16.6	0.7599
437	oilseed rape	1.4008	-0.4788	2	61	275	12	2017.9167	26.25	0.4581
438	olive tree	0.6578	0.3492	4	98	233	13	2021.6154	17.6923	0.8347
439	opportunity	0.0659	0.5329	3	281	574	38	2021.3947	45.5263	2.1205
440	optimal wavelength	1.5329	-0.5301	2	67	261	11	2018.6364	16	0.3129
441	optimization algorithm	-0.4106	-0.3682	1	246	701	57	2022.4737	13	1.0206
442	optimizer	-0.7309	-0.1221	1	244	605	48	2022.5	10.7917	0.8008
443	orchard	0.8643	0.1706	5	152	363	19	2020.9474	28.4211	1.1677
444	original dataset	-0.9252	-0.2949	1	80	114	10	2022.5	5.2	0.6035
445	original image	-0.2137	-0.5117	1	119	219	14	2021	46.2857	1.7643
446	outbreak	0.9095	0.4362	4	216	665	33	2020.2424	11.4545	0.6443
447	overall accuracy	0.8032	-0.2367	2	334	1198	64	2021.1875	25.0156	1.2395
448	overall classification accuracy	0.652	-0.403	4	146	267	11	2020.5455	17	1.178
449	overfitting problem	-1.0208	-0.1492	1	93	162	12	2022.25	10.3333	1.3889
450	overview	0.2639	0.6872	3	216	525	34	2020.7647	37.5	1.9468
451	paddy	-0.9214	-0.6879	1	67	169	10	2021.8	9.8	0.4365
452	paddy crop	-0.9171	-0.5665	1	54	219	15	2023.0667	4	0.934
453	pakistan	-0.2022	-0.3026	1	128	269	17	2021.8235	21.8824	1.1164
454	particle swarm optimization	-0.4494	-0.6342	1	140	315	22	2021.5455	22.7727	1.2799
455	pathogen	0.6329	0.3796	3	439	2220	131	2021.6031	11.9924	0.6506
456	pathologist	-0.1074	0.0863	1	213	472	36	2022.2778	8.1111	0.7331
457	pca	0.8912	-0.6987	2	181	507	26	2020.3846	12.6923	0.876
458	pepper	0.0401	-0.5306	2	139	281	18	2022.1111	11.5	0.8183
459	percent	-0.0524	-0.2525	4	190	471	29	2021.8621	8	0.5346
460	performance analysis	-0.8544	-0.3136	1	140	242	17	2022.7059	6.9412	1.1783
461	performance evaluation	-0.9509	-0.4333	1	87	151	11	2021.7273	34.2727	2.0335
462	performance metric	-0.5825	-0.4225	1	236	474	31	2022.3226	22.8387	1.1382
463	period	1.05	-0.3069	2	254	861	42	2021.1429	12.1667	0.6154
464	person	-0.4916	-0.2927	1	270	647	50	2021.9	10.14	0.9325
465	perspective	0.6132	0.3717	3	143	259	18	2021.7222	9.2222	0.938
466	pest detection	-0.4614	0.5991	3	210	752	53	2021.7547	27	2.3356
467	phenotyping	0.6924	0.6981	3	243	866	55	2020.9273	38.6	1.0823
468	phytopathology	-0.2161	0.3936	3	89	177	13	2020.8462	33.1538	0.9324
469	pivotal role	-0.2003	0.5818	3	99	143	10	2023.1	6.8	0.9123
470	pixel	0.4413	-0.2906	2	330	986	53	2020.9057	26.1321	1.0788
471	plant disease classification	-0.6663	-0.1564	1	278	611	50	2021.94	25.36	1.1231
472	plant disease image	-0.7128	0.1312	1	94	130	12	2022.3333	9.5	0.8596
473	plant disease prediction	-0.3949	-0.5826	1	90	158	14	2022.1429	3.7143	0.815
474	plant disease recognition	-0.6114	0.2383	1	173	366	34	2022.0294	21.2941	1.1858
475	plant diseases detection	-0.6166	0.1392	1	127	311	25	2020.48	8.04	0.3049
476	plant growth	0.1667	0.0167	2	250	523	30	2022.1	4.6333	0.4452
477	plant health	0.5244	0.1395	2	257	618	34	2022.3235	10	0.5557
478	plant illness	-0.5494	-0.2361	1	106	178	13	2022.9231	2.5385	0.6921
479	plant infection	0.1365	0.1561	4	79	139	11	2022.3636	2.7273	0.6469
480	plant leaf	-0.6082	-0.5199	1	197	465	35	2021.8286	13.2	0.9023
481	plant leaf disease classification	-0.6591	-0.0379	1	133	243	18	2022.6667	5.3889	0.4941
482	plant leaf disease detection	-0.556	-0.3001	1	296	763	76	2021.7368	13.4737	0.9259
483	plant pathogen	0.1478	0.6669	3	205	487	29	2022.1379	8.8276	1.0575
484	plant pathology	-0.2418	0.3834	3	194	404	27	2022.4444	8.6667	1.0034
485	plant pest	-0.4197	0.5502	3	175	393	23	2021.6087	9.1739	0.8023
486	plant phenotyping	0.3941	0.8445	3	161	480	28	2020.7143	54.5714	1.6026
487	plant protection	0.5446	0.7396	7	113	220	14	2020.2857	57.8571	1.6406
488	plant stress	0.6725	0.2112	2	162	412	22	2020.6364	21.3636	0.8327
489	plant village	-1.0707	0.0732	1	135	277	19	2022.1579	13	1.3805
490	plant village dataset	-0.8214	-0.1169	1	235	515	43	2022.2791	12.4651	1.2442
491	plantation	0.7923	-0.3951	2	206	509	32	2019.9375	16.0312	0.6041
492	plantvillage	-0.5737	0.1856	1	232	480	40	2022.45	10.225	2.508
493	plantvillage dataset	-0.7868	0.0378	1	373	1127	84	2022.2143	13.1905	0.9212
494	platform	0.3013	0.3067	3	454	2023	126	2021.6746	17.3571	1.2639
495	popularity	-0.8097	-0.2528	1	99	159	13	2021.4615	16.0769	1.0754
496	potato crop	0.7193	-0.1834	4	96	232	14	2022.8571	6.8571	1.3086
497	potato leaf disease	-0.9164	-0.2748	1	99	210	15	2022.4	10.5333	0.775
498	potato leafe	-0.9168	-0.2002	1	88	213	14	2022.4286	13.7143	3.3117
499	potato plant	0.2427	-0.2443	4	141	351	27	2021	23.3704	0.8282
500	potential	0.481	0.4019	3	440	1635	91	2021.989	14.7473	1.1436
501	powdery mildew	0.3654	-0.2543	2	220	491	34	2020.8235	19.6176	0.699
502	practical application	-0.5544	0.4464	1	139	201	16	2022.25	31.9375	4.0399
503	practitioner	-0.2844	0.6847	3	96	188	18	2022.9444	6.2222	1.4537
504	pre	-0.866	-0.1751	1	508	2867	198	2022.0808	23.7222	1.5518
505	precise detection	-0.8129	0.0199	1	111	195	13	2023.0769	2.2308	1.7906
506	precision agriculture	-0.0131	0.5766	3	438	1927	132	2021.8864	16.5227	1.3775
507	precision farming	0.0107	0.8513	3	130	259	15	2021.6667	25.3333	1.7331
508	prediction accuracy	0.7335	0.1121	4	158	375	23	2021.7391	14.8696	1.2756
509	prediction model	0.9742	0.1242	4	175	517	29	2022.2069	7.3103	0.6431
510	presence	0.5475	0.2397	4	334	954	62	2021.0161	17.7258	0.7777
511	pretrained model	-0.469	-0.1264	1	88	245	16	2022.5	3.5625	0.6665
512	previous research	0.4183	0.3591	2	108	168	10	2022.7	5.3	5.0633
513	previous study	1.2135	-0.0663	2	124	254	11	2021.3636	30.5455	1.0142
514	previous work	-0.0453	0.7992	5	124	259	15	2020.8667	33.9333	1.1482
515	primary source	-0.3244	-0.1945	3	82	110	10	2022.1	23.3	1.2856
516	principal component analysis	0.8232	-0.831	6	216	639	29	2020.4138	12.931	0.884
517	profit	-0.643	-0.2733	1	115	184	15	2020.9333	14.4	0.7885
518	program	0.4692	0.111	4	172	327	24	2019.1667	65.125	1.1602
519	progress	0.2267	0.452	3	226	453	35	2020.4	32.6857	1.1809
520	property	0.7179	-0.3545	2	244	700	40	2020.225	21.175	0.545
521	proposed model	-0.7944	-0.0767	1	258	586	43	2022.3023	6.3023	0.7076
522	prospect	0.2318	0.71	3	171	326	22	2021.5	31.6364	1.437
523	prototype	0.1093	-0.2669	3	95	148	13	2020.3846	6.6154	0.3275
524	pso	-0.2886	-0.5932	1	111	210	15	2021.7333	16.4667	1.0718
525	public dataset	-0.884	0.1987	1	175	415	34	2022.0588	70.8529	2.7277
526	pwd	1.7263	0.0399	2	48	319	12	2022.8333	4.3333	0.5906
527	quantification	0.962	0.3718	2	219	578	36	2021.4167	33.9444	0.9093
528	r cnn	-0.7475	0.216	1	114	238	22	2021.9545	6.8182	0.4109
529	radial basis function	0.7533	-0.5913	2	117	238	12	2017.75	32.5833	1.1253
530	random forest	0.5176	-0.5141	2	362	1192	64	2021.7656	13.7344	0.8052
531	random forest classifier	0.1248	-0.6507	2	110	209	16	2021.8125	19.1875	1.0377
532	range	0.6425	-0.0906	2	480	2039	108	2021.4167	20.1944	1.1388
533	rapid	0.7028	-0.2717	2	110	186	10	2021.5	18.2	0.8554
534	rapid detection	0.455	0.0969	2	142	254	15	2020.6667	11	0.794
535	rapid development	-0.4073	0.6932	3	91	146	10	2021	33.8	1.2838
536	raspberry pi	-0.9849	0.1883	1	137	544	33	2021.5455	20.4242	1.1168
537	rbf	0.8461	-0.6739	2	100	242	13	2017	29.8462	0.9117
538	real time detection	-0.4829	0.4266	1	230	485	37	2021.3243	30.7568	1.2571
539	real world	-0.9389	0.3832	1	81	135	10	2022.2	24.4	1.519
540	recent advance	0.1435	0.4247	3	179	325	22	2021.1364	88.0909	2.0794
541	recent advancement	-0.241	0.5011	3	134	212	17	2022.2353	7.1765	1.1599
542	recent research	-0.1419	0.5425	3	113	190	12	2022.0833	18.25	2.5536
543	recent study	0.3563	0.3729	4	100	161	10	2021.2	39.8	1.8316
544	recent time	-0.7749	-0.1891	1	111	172	13	2021.3846	3.3846	0.3912
545	recognition accuracy	-0.7423	0.2563	1	252	674	47	2022.1702	15.8085	1.0172
546	recommendation	0.2311	0.498	3	166	314	22	2021.2727	63.5909	2.7047
547	recurrent neural network	-0.3749	-0.4259	1	145	321	22	2021.9545	7.2273	0.5745
548	reference	0.0304	0.2609	1	191	403	25	2022.2	13.4	0.7096
549	reflectance	1.5933	-0.0176	2	161	615	24	2019.0833	31.3333	0.816
550	relationship	0.2249	0.369	2	249	549	30	2022.2	10.3333	0.8299
551	relevant feature	-0.5385	-0.0174	1	150	277	18	2021.5556	21.3889	1.1797
552	reliability	0.0379	0.5689	3	173	376	25	2021.76	12.6	0.7831
553	remedy	-0.373	-0.2749	1	102	160	15	2021.2	13.6667	1.1209
554	remote sensing	0.9916	0.2306	2	315	1203	57	2021.3158	16.807	1.0446
555	research community	-0.9162	-0.1772	1	80	115	11	2022.3636	10.6364	0.6298
556	research gap	-0.076	0.4037	3	121	188	12	2022.1667	37.5	2.7008
557	residual network	-0.9263	0.2037	1	181	450	28	2021.7857	27.6071	0.726
558	resistance	0.6927	0.4678	4	238	768	42	2021.7143	19.0714	0.9783
559	resnet	-0.792	-0.0013	1	438	2051	126	2022.254	18.627	1.1197
560	resnet101	-0.5342	-0.5354	1	109	208	11	2022.7273	9.4545	0.9635
561	resnet152v2	-0.8392	-0.1911	1	85	173	11	2022.7273	4	1.4072
562	resnet50	-1.027	-0.0569	1	323	991	68	2022.4706	9.4118	0.7273
563	resnet50 model	-1.3047	0.0902	1	78	255	13	2022.5385	11.6154	1.0577
564	resolution	0.4695	-0.0834	2	364	1467	80	2021.2375	29.9625	0.9936
565	response	1.1666	0.2402	2	309	1394	70	2021.0857	16.1	0.8192
566	review	0.0892	0.7223	3	400	2383	181	2021.7624	39.9503	2.0827
567	rgb	0.7352	-0.1891	4	242	622	33	2021.3636	18.6061	1.2968
568	rgb image	0.2983	-0.5682	4	200	423	26	2021.3077	19.1538	1.3195
569	rice crop	-0.0617	-0.6397	1	101	228	16	2021.8125	5.875	0.4784
570	rice disease	-0.5547	-0.7309	1	201	833	53	2022.1698	25.1132	1.582
571	rice leaf disease	-0.7883	-0.4736	1	136	393	25	2022.44	14.48	1.5012
572	rice leafe	-0.305	-0.8951	6	102	239	14	2022	3.6429	0.2538
573	rice plant	-0.1306	-0.8016	1	248	776	47	2020.4468	20.3191	1.0748
574	rice plant disease	-0.7281	-0.6089	1	154	582	41	2021.3415	30.0244	1.4293
575	risk	0.4578	0.5096	4	281	1103	55	2019.7273	23.2545	1.251
576	rkn	1.7453	0.4646	2	26	450	10	2022	5	0.4387
577	rmse	1.2271	-0.2588	2	86	295	15	2018.6	24.4	0.5889
578	rnn	-0.4782	-0.5018	1	126	319	22	2022.1818	9.2273	0.7343
579	roi	-0.1266	-0.8457	6	146	338	20	2021.3	10.75	0.7322
580	root	0.5234	-0.0846	4	205	500	34	2022.2353	11.0882	0.5022
581	rose	0.7048	0.0567	4	49	330	18	2021.1111	7.1111	0.1421
582	rotation	-0.445	0.348	1	144	268	15	2021.6667	11.0667	0.8123
583	rust	0.3159	0.1729	2	302	1081	56	2020.875	30.2857	0.8709
584	safety	-0.2508	0.328	3	195	365	29	2021.3103	35.1034	1.9241
585	sample	0.4572	0.1287	5	539	3538	210	2021.5524	12.0476	0.7633
586	sampling	0.9129	0.0785	2	209	423	23	2020.3043	22.1304	1.0767
587	satellite	1.1271	0.4565	2	149	347	14	2021.2143	28.4286	1.3551
588	scab	-0.2443	0.3027	5	171	370	29	2020.8621	14.8966	0.8505
589	scale	0.4059	0.4725	3	449	1786	109	2021.4037	32.211	1.068
590	scratch	-0.8696	0.1437	1	139	275	19	2022.1053	30.9474	1.5989
591	season	0.7855	-0.0221	2	211	492	21	2021.381	16.8095	1.3087
592	second	-0.3122	0.2261	1	183	357	24	2022.4583	4.0833	0.3183
593	second stage	-0.8332	-0.1797	1	120	225	13	2022.5385	10.3846	1.3633
594	sector	-0.3345	0.1739	3	397	1110	102	2021.8922	8.1176	0.6915
595	seed	0.7848	-0.231	2	168	556	37	2021.3243	22.4595	0.5242
596	seedling	1.0657	-0.104	2	147	799	37	2021	19.1081	0.5785
597	segment	-0.2295	-0.4611	1	256	649	47	2021.4894	11.1064	0.855
598	segmented image	-0.4555	-0.5416	1	191	370	23	2021.6522	19.5652	1.0489
599	selection	0.6041	-0.2138	2	306	945	56	2021.0179	32.8214	1.3679
600	semantic segmentation	-0.5103	0.2393	1	167	359	23	2021.7826	23.8261	1.6441
601	sensor	0.7544	0.251	3	436	2774	173	2021.0231	22.9075	1.1945
602	sentinel	1.4276	0.1173	2	93	382	16	2021.375	11.625	0.5003
603	series	0.4518	0.3089	2	215	506	31	2021.6452	11.8065	0.6499
604	service	-0.2808	0.3401	3	253	678	38	2021.8158	17.3947	2.1612
605	set	0.0945	-0.3148	6	537	2671	164	2020.872	31.5366	1.3089
606	severity	0.9246	-0.1498	2	354	1881	94	2021.6915	21.1596	0.9876
607	severity level	0.6974	-0.3594	2	199	480	25	2022.12	10.56	1.0165
608	shape feature	0.1257	-0.7165	1	97	199	11	2020.8182	5.2727	0.2344
609	shortcoming	-0.0517	0.4194	5	114	180	13	2021.4615	38.6923	1.3499
610	significant challenge	-0.8238	0.1965	1	114	168	10	2023.3	6.4	0.9367
611	significant economic loss	-0.2111	0.3535	3	93	140	12	2021.5833	12.6667	0.8717
612	significant impact	0.0272	0.1809	1	172	315	20	2022.15	13.5	1.3535
613	significant improvement	-0.3382	0.3452	1	135	226	16	2022	18.75	0.887
614	similar symptom	0.7501	0.2116	2	82	234	13	2020.6154	27.6923	0.8586
615	similarity	-0.5286	0.1572	1	181	348	24	2022.2083	14.2917	1.5222
616	simple novel image detection technique	1.3756	1.204	7	5	45	10	2022	0	0
617	simulation	-0.0666	-0.529	1	157	279	16	2021.6875	11.9375	0.8552
618	simulation result	-0.7237	-0.4868	1	112	190	11	2022.4545	13.1818	1.0124
619	single leaf	-0.2568	-0.1698	1	72	134	10	2021.2	24.2	1.3154
620	site	0.6695	-0.2563	4	238	647	33	2019.9394	28.2121	0.8731
621	small dataset	-0.9112	0.1786	1	131	307	20	2021.25	31	1.2981
622	smart farming	-0.4478	0.4899	3	182	546	36	2021.8889	14.8889	1.1205
623	soil	0.4233	0.3913	3	288	897	48	2021.1875	12.5625	0.8067
624	soybean	0.3874	0.7525	3	114	274	14	2021.7143	15.1429	0.9002
625	species	0.1464	-0.06	4	490	2492	181	2021.1657	16.8398	0.8105
626	specificity	-0.4203	-0.4409	1	333	819	58	2021.9138	14.3103	1.0901
627	spectra	1.3528	-0.3274	2	230	1562	71	2018.3944	22.1972	0.6429
628	spectral data	1.3576	-0.2831	2	209	765	31	2021	15.4194	0.8731
629	spectral feature	1.5628	-0.3438	2	185	707	21	2019.5238	36.3333	1.3055
630	spectral reflectance	1.5659	-0.0143	2	127	361	13	2019.9231	34.3846	0.8412
631	spectral signature	1.2644	0.1336	2	143	315	15	2020.8	21.0667	0.8709
632	squeezenet	-1.1445	-0.1866	1	151	329	21	2022	18.8095	0.8103
633	ssd	-0.6668	0.4705	1	99	195	15	2021.4667	58.2	1.0736
634	stage	0.2788	-0.2356	2	679	7037	442	2021.5566	15.7579	0.8968
635	stem	0.5309	0.019	4	171	531	27	2020.7778	18.1481	1.928
636	storage	-0.2579	0.5402	3	127	270	19	2021.8947	9.3158	0.8204
637	strawberry	0.4929	-0.7474	6	153	568	29	2021.1724	16.8276	0.7679
638	strength	-0.6658	0.0983	1	159	269	21	2022.6667	15.0476	1.1188
639	stress	1.0816	0.2614	2	306	1337	65	2021.3231	24.0923	0.7181
640	stress detection	0.7877	0.4285	3	116	289	16	2021.875	10	1.5962
641	stripe rust	0.8254	-0.3718	4	97	503	19	2021.5789	8.6316	0.8103
642	superior performance	-0.8635	0.08	1	202	395	25	2022.76	15.24	0.8937
643	superiority	-0.8745	-0.083	1	149	231	20	2022.6	15	1.0117
644	support vector machine	0.5425	-0.1974	2	514	2240	136	2020.6029	21.3824	0.8671
645	survey	0.007	0.3483	3	319	1240	99	2020.8384	32.6061	1.3386
646	susceptibility	0.7299	0.5587	4	127	303	16	2019.1875	17.375	0.5694
647	sustainability	-0.1983	0.4695	3	187	468	29	2023.0345	6.2414	2.2764
648	svm	0.4997	-0.5743	2	532	3328	180	2021.3111	16.0389	0.8249
649	svm classifier	0.4488	-0.5931	2	105	195	11	2019.7273	14.4545	0.191
650	systematic literature review	0.1699	0.9063	3	78	223	14	2022.6429	3.7143	1.0414
651	systematic review	-0.4228	0.7525	3	96	191	13	2021.9231	40	2.8937
652	target	-0.3806	0.6494	5	188	453	31	2020.7742	40.0645	1.3207
653	target domain	-0.7573	0.4113	1	69	145	11	2021.4545	30.5455	1.014
654	target spot	0.5434	-0.0397	2	102	268	12	2021.4167	29.75	1.8493
655	tea disease	-0.654	0.5929	1	27	233	15	2023.0667	7.2	1.9813
656	temperature	0.6325	-0.1963	4	274	921	52	2021.2885	11.0962	0.9103
657	test dataset	-0.6754	0.1323	1	230	408	30	2021.8667	16	1.138
658	testing accuracy	-0.6398	-0.0405	1	180	381	25	2022.48	9.24	0.7491
659	texture	-0.1214	-0.576	1	319	880	60	2020.9	13.8333	0.674
660	texture feature	-0.2806	-0.5104	1	209	410	34	2021.2353	7.7647	0.3901
661	thing	-0.435	0.5154	3	327	1246	81	2021.8395	14.4444	1.1026
662	thousand	0.0599	-0.0253	4	108	151	10	2021.5	17.7	0.9374
663	threshold	0.4518	0.0455	4	138	339	24	2021.6667	8.8333	0.3323
664	tomato crop	-0.0016	-0.28	2	146	258	19	2021.0526	18.4737	0.9661
665	tomato disease	-0.8586	0.1199	1	237	670	49	2021.6122	40.102	1.157
666	tomato leaf	-0.4666	0.1702	1	90	155	12	2022.4167	8.5	0.8241
667	tomato leaf disease	-0.8637	-0.0553	1	232	620	48	2022.125	13.1875	1.296
668	tomato leaf disease classification	-0.7561	0.3639	3	84	193	15	2022.4667	17.6	1.424
669	tomato leaf disease detection	-0.9425	-0.0257	1	99	196	18	2021.1667	20.3333	1.0025
670	tomato leaf image	-0.7739	-0.3067	1	126	212	15	2021.8	25.7333	1.4837
671	topic	0.0192	0.6047	3	228	585	39	2021.359	28.9744	1.5306
672	traditional machine learning	0.3495	0.3983	3	101	147	11	2022.3636	16.7273	0.8536
673	traditional technique	-0.4505	0.3	3	87	140	10	2022.5	13.5	1.793
674	trainable parameter	-1.1165	-0.2314	1	91	190	11	2023.1818	4.7273	1.9001
675	training accuracy	-0.9717	-0.0167	1	154	292	19	2022.4737	10.7368	0.5572
